compound,predicted_pchembl,experimental_pchembl,max_tanimoto_to_train,inside_AD,predicted_class,smiles
CHEMBL3781676,6.371,6.84,0.33,False,active,CN1CCN(c2ccc(NC(=O)c3c(Nc4ccncc4N)cc[nH]c3=O)cc2)CC1
CHEMBL6078432,6.357,8.02,0.542,True,active,Cc1cn2nc(Nc3ccnc(-c4cnn(S(=O)(=O)C5CC5)c4)n3)cc2n1C(C)C
CHEMBL3734928,6.355,6.83,0.556,True,active,COC1CCN(c2nccc(Nc3cc4c(cn3)ncn4C3CCOC3)n2)CC1
CHEMBL3354186,6.347,6.94,0.542,True,active,COC1CCN(c2nccc(Nc3cc4[nH]c(-c5cn[nH]c5)cc4cn3)n2)CC1
CHEMBL6149219,6.344,5.21,0.5,True,active,COC1CCN(c2nccc(Nc3cc4n(C)c(C)cn4n3)n2)CC1
CHEMBL5282852,6.341,8.28,0.55,True,active,COC1CCN(c2nccc(Nc3cc4c(cn3)c(C(N)=O)cn4C(C)C)n2)CC1
CHEMBL3758830,6.329,7.24,0.535,True,active,Cn1nc(Nc2nc(-c3cn[nH]c3)nc3c2COC3(C)C)c2cccc(F)c21
CHEMBL3736178,6.327,7.06,0.611,True,active,COC1CCN(c2nccc(Nc3cc4c(cn3)ncn4C3CC3)n2)CC1
CHEMBL3758283,6.318,8.1,0.693,True,active,CC1(C)OCc2c(Nc3n[nH]c4ccc(F)cc34)nc(-c3cn[nH]c3)nc21
CHEMBL1682558,6.315,7.77,0.301,False,active,Fc1ccc(-c2ncn(CCN3CCOCC3)c2-c2ccc3[nH]ncc3c2)cc1
CHEMBL2437296,6.313,4.56,0.237,False,active,Cc1ccc(-c2csc(=N)n2CC(=O)N2CCN(C)CC2)cc1
CHEMBL2437294,6.3,5.21,0.239,False,active,CC(=O)N1CCN(C(=O)Cn2c(-c3ccc(C)cc3)csc2=N)CC1
CHEMBL6091992,6.279,6.75,0.553,True,active,COC1CCN(c2nccc(Nc3cc4n(C(C)C)c(C)cn4n3)n2)CC1
CHEMBL3735927,6.278,6.31,0.674,True,active,COC1(CN(C)C)CCN(c2nccc(Nc3cc4c(cn3)nc(C)n4C(C)C)n2)CC1
CHEMBL3354189,6.277,6.26,0.552,True,active,COC1CCN(c2nccc(Nc3cc4c(ccn4C4CCCC4)cn3)n2)CC1
CHEMBL3758700,6.267,8.4,0.583,True,active,CC1(C)OCc2c(Nc3n[nH]c4c(Cl)c(F)ccc34)nc(-c3cn[nH]c3)nc21
CHEMBL5194946,6.256,6.77,0.383,False,active,Nc1nc(Nc2ccc(COc3cccc(F)c3)cc2)c2c(n1)[nH]c1ccc(O)cc12
CHEMBL2437297,6.256,4.78,0.209,False,active,CC(=O)N1CCN(C(=O)Cn2c(-c3ccccc3)csc2=N)CC1
CHEMBL3354185,6.253,7.29,0.591,True,active,COC1CCN(c2nccc(Nc3cc4[nH]c(-c5cn[nH]c5)nc4cn3)n2)CC1
CHEMBL3734825,6.253,7.7,0.602,True,active,COC1CCN(c2nccc(Nc3cc4c(cn3)ncn4C3CCCC3)n2)CC1
CHEMBL1290072,6.252,6.4,0.39,False,active,COc1ccc(CNc2ccnc3oc4ccccc4c23)cc1
CHEMBL3758954,6.249,6.13,0.615,True,active,CC1(C)OCc2c(Nc3nsc4ccccc34)nc(-c3cn[nH]c3)nc21
CHEMBL3758958,6.241,7.77,0.622,True,active,CC1(C)OCc2c(Nc3c[nH]c4ccccc34)nc(-c3cn[nH]c3)nc21
CHEMBL3735638,6.235,6.91,0.642,True,active,Cc1nc2cnc(Nc3ccnc(N4CCC(C)(C(N)=O)C4)n3)cc2n1C(C)C
CHEMBL1290071,6.234,6.17,0.273,False,active,c1ccc2c(CNc3ccnc4oc5ccccc5c34)cccc2c1
CHEMBL2437295,6.228,5.07,0.239,False,active,CC(=O)N1CCN(C(=O)Cn2c(-c3ccc(Cl)cc3)csc2=N)CC1
CHEMBL3781805,6.214,6.2,0.252,False,active,COc1ccccc1Nc1cc[nH]c(=O)c1C(=O)Nc1ccc(N2CCC(C)CC2)cc1
CHEMBL3758948,6.208,6.87,0.611,True,active,CC1(C)OCc2c(Nc3n[nH]c4c(C(F)(F)F)cccc34)nc(-c3cn[nH]c3)nc21
CHEMBL6083124,6.206,7.82,0.542,True,active,COC1CCN(c2nccc(Nc3cc4c(C(C)C)c(C)nn4cn3)n2)CC1
CHEMBL3736409,6.206,7.32,0.598,True,active,COC1CCN(c2nccc(Nc3cc4c(cn3)ncn4C3CCC3)n2)CC1
CHEMBL3735335,6.206,7.75,0.573,True,active,COC1CCN(c2nccc(Nc3cc4c(cn3)ncn4C3CCCCC3)n2)CC1
CHEMBL3354194,6.206,5.82,0.547,True,active,COC1CCN(c2nccc(Nc3cc4c(cn3)CCN4C(C)C)n2)CC1
CHEMBL2437299,6.205,4.64,0.278,False,active,Cc1ccc(-c2csc(=N)n2CC(=O)N2CCOCC2)cc1
CHEMBL3779957,6.199,7.92,0.318,False,active,COc1ccccc1Nc1cc[nH]c(=O)c1C(=O)Nc1ccc(N2CCCN(C)CC2)cc1
CHEMBL2437298,6.193,4.8,0.213,False,active,CN1CCN(C(=O)Cn2c(-c3ccc(Cl)cc3)csc2=N)CC1
CHEMBL6120788,6.186,6.44,0.49,True,active,COC1CCN(c2nccc(Nc3cc(-c4n[nH]cc4Br)on3)n2)CC1
CHEMBL3781897,6.183,7.82,0.283,False,active,COc1ccccc1Nc1cc[nH]c(=O)c1C(=O)Nc1ccc(C2CCN(C)CC2)cc1
CHEMBL3780090,6.183,5.96,0.322,False,active,COc1ccccc1Nc1cc[nH]c(=O)c1C(=O)Nc1ccc(N2CCN(C)CC2)cc1
CHEMBL3759002,6.183,6.07,0.557,True,active,Cc1cc(Nc2nc(-c3cn[nH]c3)nc3c2COC3(C)C)n[nH]1
CHEMBL1682559,6.176,7.57,0.333,False,active,Fc1ccc(-c2ncn(CCCN3CCOCC3)c2-c2ccc3[nH]ncc3c2)cc1
CHEMBL3354183,6.175,7.0,0.286,False,active,Cc1cc(Nc2cc(NC(=O)c3c(Cl)cccc3Cl)ccn2)nc(N[C@@H](C)CO)n1
CHEMBL2437301,6.166,4.26,0.226,False,active,N=c1scc(-c2ccccc2)n1CC(=O)N1CCOCC1
CHEMBL3780509,6.164,7.51,0.289,False,active,CCc1cc(NC(=O)c2c(Nc3ccccc3OC)cc[nH]c2=O)ccc1N1CCN(C)CC1
CHEMBL3758602,6.161,8.7,0.643,True,active,CC1(C)OCc2c(Nc3n[nH]c4c(Cl)cccc34)nc(-c3cn[nH]c3)nc21
CHEMBL3759615,6.16,8.52,0.63,True,active,CC1(C)OCc2c(Nc3n[nH]c4c(F)cccc34)nc(-c3cn[nH]c3)nc21
CHEMBL3780175,6.151,7.43,0.263,False,active,COc1ccccc1Nc1cc[nH]c(=O)c1C(=O)Nc1ccc(N2CCS(=O)(=O)CC2)cc1
CHEMBL2437300,6.144,4.38,0.193,False,active,CN1CCN(C(=O)Cn2c(-c3ccccc3)csc2=N)CC1
CHEMBL3759442,6.143,7.07,0.537,True,active,CC1(C)OCc2c(Oc3n[nH]c4ccccc34)nc(-c3cn[nH]c3)nc21
CHEMBL4214266,6.13,6.96,0.283,False,active,O=[N+]([O-])c1ccc2[nH]c3nccc(NCc4cccc(Br)c4)c3c2c1
CHEMBL2437302,6.128,5.18,0.222,False,active,N=c1scc(-c2ccc(Cl)cc2)n1CC(=O)N1CCOCC1
CHEMBL3735559,6.122,6.71,0.461,True,active,Cc1nc2cnc(Nc3ccnc(/C=C/C(C)(C)C(N)=O)n3)cc2n1C(C)C
CHEMBL3354188,6.118,5.96,0.604,True,active,COC1CCN(c2nccc(Nc3cc4c(ccn4C(C)C)cn3)n2)CC1
CHEMBL4217976,6.118,5.69,0.327,False,active,COc1ccc(CNc2ccnc3oc4ccc([N+](=O)[O-])cc4c23)cc1
CHEMBL4217440,6.112,6.48,0.321,False,active,COc1cccc(CNc2ccnc3[nH]c4ccc([N+](=O)[O-])cc4c23)c1
CHEMBL3781338,6.096,6.2,0.333,False,active,CN1CCN(c2ccc(NC(=O)c3c(Nc4ccc(Cl)cc4)cc[nH]c3=O)cc2)CC1
CHEMBL3736094,6.088,6.7,0.606,True,active,CCn1cnc2cnc(Nc3ccnc(N4CCC(OC)CC4)n3)cc21
